stamp_i__desc,stamp_f__desc,latency_i__desc,latency_f__desc,minimum_cq__desc,maximum_rms__desc,data_fixed__desc,eeg.af3_8_12Hz__feat,eeg.f7_8_12Hz__feat,eeg.f3_8_12Hz__feat,eeg.fc5_8_12Hz__feat,eeg.t7_8_12Hz__feat,eeg.p7_8_12Hz__feat,eeg.o1_8_12Hz__feat,eeg.o2_8_12Hz__feat,eeg.p8_8_12Hz__feat,eeg.t8_8_12Hz__feat,eeg.fc6_8_12Hz__feat,eeg.f4_8_12Hz__feat,eeg.f8_8_12Hz__feat,eeg.af4_8_12Hz__feat,eeg.af3_12_15Hz__feat,eeg.f7_12_15Hz__feat,eeg.f3_12_15Hz__feat,eeg.fc5_12_15Hz__feat,eeg.t7_12_15Hz__feat,eeg.p7_12_15Hz__feat,eeg.o1_12_15Hz__feat,eeg.o2_12_15Hz__feat,eeg.p8_12_15Hz__feat,eeg.t8_12_15Hz__feat,eeg.fc6_12_15Hz__feat,eeg.f4_12_15Hz__feat,eeg.f8_12_15Hz__feat,eeg.af4_12_15Hz__feat,eeg.af3_15_20Hz__feat,eeg.f7_15_20Hz__feat,eeg.f3_15_20Hz__feat,eeg.fc5_15_20Hz__feat,eeg.t7_15_20Hz__feat,eeg.p7_15_20Hz__feat,eeg.o1_15_20Hz__feat,eeg.o2_15_20Hz__feat,eeg.p8_15_20Hz__feat,eeg.t8_15_20Hz__feat,eeg.fc6_15_20Hz__feat,eeg.f4_15_20Hz__feat,eeg.f8_15_20Hz__feat,eeg.af4_15_20Hz__feat,eeg.af3_18_40Hz__feat,eeg.f7_18_40Hz__feat,eeg.f3_18_40Hz__feat,eeg.fc5_18_40Hz__feat,eeg.t7_18_40Hz__feat,eeg.p7_18_40Hz__feat,eeg.o1_18_40Hz__feat,eeg.o2_18_40Hz__feat,eeg.p8_18_40Hz__feat,eeg.t8_18_40Hz__feat,eeg.fc6_18_40Hz__feat,eeg.f4_18_40Hz__feat,eeg.f8_18_40Hz__feat,eeg.af4_18_40Hz__feat
1669981691.95404,1669981692.94964,0.0,0.9955999851226808,4.0,61.32310436076824,0,-8.467847526854504,2.0143505987918053,-8.701046605146969,-0.5327282304238777,-1.811355066864348,-2.875316297425436,-4.754495009752628,-4.815863472302864,-2.2925902690414732,3.7988450693033835,2.7237967590253156,-7.17356669655673,10.483259441600536,-7.716306032619958,-13.641741480096385,0.46676191819220514,-5.330221376061425,-5.440675161024585,-5.028363729505711,-6.72823728814952,-4.2196702521251215,-8.503666733201054,-6.113708560319788,3.1246779063788157,0.6456762538824952,-7.792923645194878,6.237370840722508,-7.97066851812782,-9.461756385596429,0.9933212682974175,-9.692061187219366,1.1919432527682403,-5.434926905361447,-3.359548809719502,-5.941482827165831,-15.570052672221706,-6.787487326837445,-2.479505847928935,2.736695049935516,-7.19014280461193,3.641176719291774,-10.652719457517792,-19.24562899689268,-10.133299578984944,-19.867669808491694,-9.922836656130809,-15.152480217969304,-14.48270926159003,-16.9756584679596,-19.130723472644746,-15.98446465488302,-10.62721408092491,-4.3775491653994845,-19.89479494080036,-4.392894607520988,-17.954814130601708
1669981692.203916,1669981693.199516,0.2498760223388672,1.245476007461548,4.0,56.2927770886721,0,-4.4503630659310724,0.7546215894770316,-9.937726792611931,-1.1760424123865283,-5.943804285660391,-5.1437736399474145,-6.504298520612006,-6.931077396143623,-3.9345120862112433,0.18436345377621277,2.4158699410611724,-7.9480955745788675,7.98645168219071,-5.749553520271956,-11.909545212708778,2.2838317396705508,-9.708717803786868,-5.2478457445965745,-7.691534051538413,-5.2246588387096455,-3.383453516431106,-6.877253382393792,-5.451548373137842,-1.5860565370540558,2.218188046012779,-11.21546188219118,7.015103736478333,-7.473289029115147,-7.319972566845099,0.03220998779382764,-10.220698377503073,-3.0659548110942425,-4.0105069096426105,-7.190575522510732,-7.693239756191781,-11.33238023084915,-6.981940648947599,-1.3222676503238542,2.671124690484051,-5.502585833319729,4.000326988558366,-12.881112347608576,-16.509210040248682,-10.177397578427618,-20.491344031049845,-12.275647847257783,-14.485212799500227,-14.2304094115891,-17.67663057435662,-17.48862155548821,-14.799871638916036,-10.493602107922037,-6.8067440819512095,-15.188925045439392,-2.632535562685987,-18.080289143627542
1669981692.453792,1669981693.449392,0.4997520446777344,1.495352029800415,4.0,73.67105689639754,0,-8.096138438390954,0.8880965426436327,-10.343211490690054,-2.3180257012237515,-9.753838478062812,-6.083580090256584,-4.5936813830377785,-7.425608988423953,-4.862987440632996,3.567126847397608,-1.8806494780999699,-8.258312848017631,5.593903626768123,-5.997034665130112,-9.771858431581876,1.977919273362003,-12.740699193882964,-6.130176437016107,-7.103486747825157,-4.510773953297224,-1.5560435160930326,-6.24677877345205,-6.02669898313602,-2.255490106907303,-2.5749431012522277,-13.182326203754577,3.029988984055052,-7.955326344193406,-5.9850543840480555,-3.7881024315393637,-7.909775646476783,-5.019114326005152,-4.2991845992265425,-5.608880591863316,-6.52292568111561,-8.534374890204884,-10.609518733719662,1.7669558926866036,1.434902489456239,-5.939129348935675,1.6728456594499719,-10.435145596805226,-14.010434945771657,-11.763108563709137,-16.23757149282931,-11.548427286408295,-16.116441512452255,-12.762579711699676,-14.706748227245512,-15.197663735178788,-16.392427708807325,-8.882875990226468,-8.769501387926983,-12.558485900646783,-5.93941160165466,-17.303249565205334
1669981692.703668,1669981693.699269,0.7496280670166016,1.7452290058135986,4.0,75.53447521343126,0,-7.8339061834534185,-1.0017136789768295,-11.288710791257209,2.148466270378861,-9.11892307003473,-6.74732675349351,-5.4403866280058475,-3.7182579023097024,-2.6012382210830687,7.951188122914266,-3.246451702722564,-6.122560088273356,5.132913752973243,-10.559691544729667,-7.723674747573823,3.285895921069446,-12.997497282780245,-5.914051882957992,-5.899835210573274,-5.627460381438231,-3.9890120634150685,-3.658897574722208,-4.412143603089182,-1.8131028647099112,-2.426314889935159,-9.075048557469191,0.9724845892982891,-5.47737098336545,-7.132612107628505,-2.7191496592187914,-7.873690676479361,-1.913381489167213,-6.990372526152448,-2.13513654212458,-4.672630196821542,-5.910789351804877,-6.4551381628812265,1.3053236724654613,-0.9767327233803479,-6.599724796101239,3.8381121763467814,-7.612073066816518,-13.865001931377723,-10.734256709915051,-16.185203539986013,-9.157292306957956,-13.563375587407867,-11.41391718384968,-13.62014632495541,-15.091627282430728,-15.957379344462328,-10.569341298215598,-8.864003785168507,-12.43546800376097,-6.218746507878458,-14.701051316875862
1669981692.953545,1669981693.949145,0.9995050430297852,1.9951050281524656,4.0,94.36563208026708,0,-6.841713414547945,0.45036064253448,-10.561420731069248,1.1546376601984145,-7.7024446491939,-4.5132533025774695,-2.88150078728791,-6.147825652870469,-6.475199800563348,4.946630995911324,-1.4173673101809114,-6.44073226399355,3.0340903708136704,-8.587042744528414,-7.850533410831082,5.8294286711018,-9.422121173061107,-6.700502582276087,-7.164232729130409,-7.677266132097881,-4.392542925342813,-5.72592888385585,-3.46656779222777,-1.4381861088079884,-2.333541824959692,-4.848493965192718,4.080118636484668,-3.9280055107718077,-6.242503531640262,0.2760898151188732,-9.322208863292683,-3.2660981581791146,-4.876251356208609,0.7763276183826889,-4.883710672885097,-5.954304130581278,-5.343357959129733,3.2018021402130503,0.3815968839730016,-7.089934678063502,3.7158759815086584,-7.204979298157711,-16.564662643904786,-8.720911942031126,-19.643713082118218,-12.31781137395787,-12.521935405761424,-9.968440876615139,-13.179871673323376,-16.614437710108234,-14.851495901079893,-11.595721904047638,-7.9840793186293055,-12.662622965585399,-4.46668441703685,-15.878713526839277
1669981693.203421,1669981694.199021,1.2493810653686523,2.244981050491333,4.0,102.97077018517395,0,-8.259110403009041,-2.7460859575060614,-8.481524314339733,-4.913669213270487,-4.651124132105167,-1.9514732860203603,-3.125020495172124,-6.952814239474355,-4.969877839418774,2.962604652463792,0.2840963104004179,-6.0172272197303265,5.976826520030668,-5.626925997351395,-9.214188242843477,3.3492559913497475,-7.8628488582521445,-12.089298549661056,-5.700775900005784,-4.828373737320804,-4.6659955076864055,-5.597379739387083,-4.697925500448637,2.709686855786929,3.2238045142454763,-6.8711812866159985,0.23556544470282775,-7.425510244704835,-2.8014871434692195,2.658439952889241,-7.586389583660884,-0.8836341862527842,-4.590835647715036,-1.7513971274516058,-4.781427099650893,-5.084668993727773,-4.237071849676512,2.426908267156283,2.1735313912451746,-6.890790686697321,2.903219020919518,-11.110839607548503,-13.509163671974374,-7.9620093254079745,-16.576119255338494,-9.880113690797176,-15.833064959986494,-10.230132535986948,-11.980460188028852,-13.476066051777185,-15.007007667047304,-8.037021803429404,-5.429996793788482,-12.671496104607531,-3.6640238896600543,-16.692409598967494
1669981693.453297,1669981694.448897,1.4992568492889404,2.494856834411621,4.0,94.86426315950452,0,-6.937998587145385,2.153609697008409,-9.468448771016146,-3.582849272831404,-1.4698005621702934,-1.8710280059029776,-2.4996633360596703,-7.6151923416465594,-5.252210229729358,2.58989067709573,2.3078915078581415,-4.852829072064044,10.174261868626202,-9.22192842880902,-8.984664218668396,-1.394429213723354,-8.357087663023037,-9.094928547424509,-5.1497043699175595,-2.22196579704862,-4.6229704533991125,-7.737672042016364,-8.205017470635413,0.35305605426597786,4.1676937050728124,-7.451468193473779,6.65543212102113,-9.38085510035759,-2.829180433496073,0.6121472154576801,-9.58839210624785,-2.5996963648947364,-4.353268555854401,-2.555633303973944,-3.0954596815865387,-3.008742448936827,-2.8100564133643653,1.5913286549969687,1.5266857197362667,-5.8340826654277675,5.844801838588332,-8.584087044612147,-11.848523609387136,-8.017726378675924,-18.628065376779567,-11.224236514398223,-15.699331596108179,-14.67249272498596,-14.62068623433095,-11.29611312016561,-12.636729559591826,-8.42775894432931,-4.848135007537176,-13.611763385692361,-5.198130403247755,-19.355282906738267
1669981693.703173,1669981694.698773,1.7491328716278076,2.7447328567504883,4.0,88.22082594539407,0,-6.439211655541812,0.5253156781431075,-11.165754657221893,-2.9431180527683147,-3.434476075868747,-6.078948838488012,-6.386401654069031,-8.66828436228641,-5.742125491898192,5.9408238378338485,-1.6769566172583312,-6.269469269019593,7.641031954968902,-11.20657188047603,-8.770985003419495,0.6255684594885011,-8.975301117273029,-7.160616066634256,-5.676903632341938,-4.060156901016814,-5.274711917128359,-7.359093368029045,-6.648516329095278,-0.02377219457991852,-2.1590966437006975,-8.811652702624299,8.073013763846149,-7.157925530340112,-5.240469446546742,-0.4477155356110702,-11.031748166478772,-6.382142899889324,-5.406081588709587,-5.663884214078433,-5.061583246696324,-2.412225991491685,-4.546161494609149,-1.039372044437247,-1.3051630409576653,-6.0212165847524455,6.176342123752062,-7.1164042783011885,-12.448276535974184,-10.049346603376224,-19.91476552759173,-13.529106235035025,-15.135736470857097,-19.2490968548277,-15.02081562250282,-12.310181876421202,-14.333567818298786,-13.271697206057462,-7.862243945071561,-14.588565677249058,-5.8106060562989,-19.211871827248796
1669981693.953049,1669981694.94865,1.9990088939666748,2.994609832763672,4.0,81.17777073923305,0,-6.619781919859735,0.7610204482642242,-7.664306998864253,-0.24881048043396273,-1.6023001486967436,-7.1193661247138715,-7.0017209705750165,-5.606432118769264,-3.2541517812939444,5.648624952612834,-5.095730542747004,-10.505605178272335,5.44070010967249,-8.491153156665556,-5.168594806390459,-1.197507752002565,-9.469721201894751,-7.566019031142691,-9.191560803496689,-8.177142541157586,-5.3623690331000295,-10.588670810810399,-11.462321039690266,2.8194834415064878,-3.4325547684287354,-8.455530567294199,8.807437322543116,-7.776755230467749,-5.864574671628256,-4.012546105176435,-10.487974170612837,-7.61794698199491,-6.261412333408037,-8.750842749962368,-6.84729956851755,-8.804909808274365,-4.887648176736462,-1.265444039326051,-1.2712501557353517,-8.508197882077681,3.635695297160235,-5.466606939164615,-14.52596248160794,-15.40240778320384,-19.388506469636138,-14.36300307866964,-14.184166907911235,-18.6514703638279,-14.062578065245395,-17.808749771944136,-14.084803140771003,-11.945484980957312,-8.676581473552353,-15.921996671450032,-6.078239350794602,-16.149496791872412
1669981694.202925,1669981695.198526,2.248884916305542,3.244485855102539,4.0,85.70677960247758,0,-5.991374881656406,2.3116028280142102,-5.370318329617097,-1.918086551511664,-2.237604631615569,-4.311499695334547,-3.058370584498222,-6.3891389360748665,-3.4806476563379807,2.559103076837837,-1.9171063647577098,-3.3184707427478397,5.944368930678695,-8.402034280684575,-4.410038588955181,-1.1336702819148268,-7.9865310613798615,-9.182978499295967,-8.030763006332382,-4.384392077533731,-4.693345436132093,-5.160831218242209,-7.226467003487277,5.951176994240203,-0.4668517251009605,-6.809464646331124,5.966316303514906,-8.236680242617998,-6.9598042032073,-2.388793297816934,-8.429582040935571,-3.993503324749193,-4.707955390283882,-8.9331191323488,-7.659082856784474,-8.64920875700886,-6.94967839267525,-0.2316148253449108,-0.7782371812849838,-4.105824355466349,3.9706157151165944,-3.5305002567090185,-17.535584408883402,-12.467542060778431,-16.4602614290914,-10.822207661783835,-13.12113637487138,-14.690033465437422,-14.492983879615224,-15.800300362755733,-15.47308868839721,-8.555477983522247,-10.577975515157146,-13.092105354711235,-4.230660355221911,-15.613332761325045
