,discount,limited edition
eeg.af3,-0.04988969362271764,0.29348054081486985
eeg.f7,0.03961053680807171,-0.3143020670539164
eeg.f3,0.1497374147955325,0.13949801369492382
eeg.fc5,-0.22631885824877324,-0.31429669699410784
eeg.t7,-0.028839097400800307,0.07214151791998243
eeg.p7,0.08643446997731893,-0.19208058688098742
eeg.o1,-0.19851135690048802,-0.2409284137971532
eeg.o2,0.21953341942954552,-0.0049866276491043705
eeg.p8,0.24464855421136217,0.1484016061031441
eeg.t8,0.07107383793270325,0.18158297787398395
eeg.fc6,-0.31175274717115714,-0.5019521425243404
eeg.f4,-0.05725550977057727,-0.18294326131666683
eeg.f8,-0.09521857007280592,-0.2482156529667055
eeg.af4,-0.04458304162965334,0.14289576955146582
