,discount,limited edition
eeg.af3,-0.01578864538825837,0.06971598441509656
eeg.f7,-0.20794625720437257,-0.2883806863214784
eeg.f3,-0.05368992544001698,-0.08998714899713725
eeg.fc5,0.04765822839750532,0.02862831984679488
eeg.t7,0.16304651775841275,0.09405738952369427
eeg.p7,0.060045952467233786,-0.09413342132777822
eeg.o1,-0.15230777895701467,-0.013499742663102705
eeg.o2,0.3853971324896149,0.12974774873499925
eeg.p8,0.444579363969224,0.16344764631264203
eeg.t8,0.2154862266962318,0.15633728314763734
eeg.fc6,-0.11536517355916218,-0.17554598505169297
eeg.f4,-0.1365580895357755,-0.13025066462470397
eeg.f8,-0.09755422946657201,-0.1356593376191773
eeg.af4,-0.0756992031152593,-0.24213048236952542
