,discount,limited edition
eeg.af3,0.045679778539315194,0.1202230736269061
eeg.f7,0.08610849831796494,-0.1790765891049863
eeg.f3,0.04562718511297703,0.128501742732891
eeg.fc5,-0.16889389604138938,-0.04799109274060666
eeg.t7,0.1237251469825266,0.10875168120707428
eeg.p7,-0.1359504704602245,-0.3456646237616794
eeg.o1,-0.1697829064894541,-0.3664704542833858
eeg.o2,0.09453749282704882,0.11143143260002364
eeg.p8,0.2578649312118625,0.24475998956117098
eeg.t8,0.06109714581970528,0.22855546435181523
eeg.fc6,-0.07250692851558055,0.0682475372774021
eeg.f4,0.06845424116256382,-0.08557523609702129
eeg.f8,-0.05746993428483975,0.03423172999138081
eeg.af4,-0.014857465951095116,0.15657370509706006
