,regret,unregret
eeg.af3,-0.09948965310285605,0.04171769301805594
eeg.f7,-1.0617889993849825,7.519324952681207
eeg.f3,-0.020643606384434465,-0.050723702678384684
eeg.fc5,1.5993465830018934,0.09049500987829587
eeg.t7,0.13046440140049684,-0.2745505693932874
eeg.p7,-0.3401594185885391,0.5694554045492366
eeg.o1,0.02099002231984785,0.21860747810841924
eeg.o2,-0.030865153434271913,0.042884788690795185
eeg.p8,-0.17669103540113715,0.06534002437639488
eeg.t8,-0.8912411793366054,-0.05822739288076142
eeg.fc6,0.06377829455727944,0.2543847272594161
eeg.f4,0.04280974614892483,0.05842813731591172
eeg.f8,-0.7363439720678865,-0.9574295435791393
eeg.af4,4.130912262359982,2.826681667078585
