,regret,unregret
eeg.af3,-0.0024318553484231017,0.06203197404733235
eeg.f7,0.06480655533533837,0.5121115743239398
eeg.f3,-0.015714771219071423,-0.005347061151424337
eeg.fc5,0.11175452768302081,0.12059237487344396
eeg.t7,-0.07510393994954985,-0.03337860804952383
eeg.p7,-0.09012759503784636,0.024141814176941157
eeg.o1,0.04441934821670588,0.06435633380777701
eeg.o2,-0.051811776046739984,-0.014452382795450852
eeg.p8,-0.1071157130590955,-0.026248897333718775
eeg.t8,-0.027295988600164644,0.044648395223469306
eeg.fc6,0.07446253734367794,0.06800155003363417
eeg.f4,0.012473154801266496,0.010104943540134175
eeg.f8,-0.08772003453998752,-1.3376716853605037
eeg.af4,-0.0709728182177097,-0.08741089519894094
