,regret,unregret
eeg.af3,-0.31655248751975246,0.048220114527153246
eeg.f7,0.1644750791135979,-0.15460356911046977
eeg.f3,0.05658937182374263,0.0334874097247919
eeg.fc5,24.281268413579166,3.5761773370240775
eeg.t7,1.0073538865610308,0.36221282382363473
eeg.p7,-0.15533354317479717,0.27345898861999757
eeg.o1,0.2577748458120334,0.23367104924097246
eeg.o2,0.023040568894625375,-0.08812552943704183
eeg.p8,-0.0778853348547311,-0.09117552075942785
eeg.t8,-1.2199319016846526,-0.511051964815908
eeg.fc6,0.625047776928182,0.7205401403096399
eeg.f4,0.18425052442241385,0.17006928326306472
eeg.f8,-2.430274849385775,0.27693422008332436
eeg.af4,-8.20434986334883,-1.9639129409080973
