,ib,nib
eeg.af3,0.13169968666946508,-0.09852195779120494
eeg.f7,-0.23610278226940695,-0.5773041702444939
eeg.f3,0.11588418821374126,0.1378573486486219
eeg.fc5,10.250395137071255,-5.252307319355314
eeg.t7,0.4853497848630759,3.0417426952199547
eeg.p7,0.06983503120208964,-0.7169028744208013
eeg.o1,0.10108227554938844,0.09991561737036034
eeg.o2,-0.16834922550006362,0.01229877731228319
eeg.p8,-0.1765656267070153,-0.08945972588781362
eeg.t8,-1.0131924051317414,0.21953276331704014
eeg.fc6,0.7403094245650447,0.24217602184743792
eeg.f4,0.20675972225011321,-0.014693374398292453
eeg.f8,0.5626797205965103,-0.3258864287971642
eeg.af4,-1.8100753260264868,0.06299236425635181
