,ib,nib
eeg.af3,0.07351035002381001,0.21823937648905312
eeg.f7,-2.266305653902338,39.27159766744068
eeg.f3,-0.014899965196829833,-0.09376214780128522
eeg.fc5,1.2093243811693166,1.3841763127656754
eeg.t7,-0.17616988341952458,0.38255107986446246
eeg.p7,0.26429689916943866,-0.2932379411992718
eeg.o1,0.1920468004986985,0.15741780238471664
eeg.o2,-0.08922680946768254,0.056017830041142365
eeg.p8,-0.03461473232769216,-0.08533880967399607
eeg.t8,-0.6256971447997933,0.1603774276146514
eeg.fc6,0.24812374957065625,0.1586131317362573
eeg.f4,0.030524369711694126,0.0016153505252850808
eeg.f8,-2.2549877919124555,-0.32693727674613426
eeg.af4,4.277607040985093,0.012830602576806294
