,ib,nib
eeg.af3,-0.1798851836486786,0.20500397279484214
eeg.f7,-0.26213631515977315,18.892137469547876
eeg.f3,-0.027380176861515764,-0.002055953989533288
eeg.fc5,1.236729890410928,-0.0766385838559025
eeg.t7,6.261953831972871,0.5199959746343388
eeg.p7,-0.49569234310473664,-0.3365500114688098
eeg.o1,0.4683115920995637,0.0015183274638524008
eeg.o2,-0.0638258689894915,-0.025355520927358613
eeg.p8,-0.08259432881709795,0.015138030074046238
eeg.t8,3.326793440636584,0.11343184022716166
eeg.fc6,-1.5008205468304565,0.2617814499543968
eeg.f4,-0.022314774265848047,-0.08004221223517938
eeg.f8,-1.8157550572328676,-1.3936634303578628
eeg.af4,0.7521086347194659,0.11489585815502851
