timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
0,,-16.127039053916825,-7.473141148687519,-17.771402432893463,-16.751264152739346,-14.556048353263522,-14.95066457867454,-12.709421594173913,-13.483109597753732,-13.150382352578085,-13.731465505881353,-16.828588890307476,-15.446989009707355,-8.637991728354192,-9.986582438931968
250,,-14.339294062284134,-6.238453989927101,-17.804605233763894,-14.848826837392552,-16.388666927601243,-14.61063503114287,-14.673602438989716,-14.322839499750089,-18.46662597847757,-13.907636548776935,-13.583972855769153,-16.550190933985387,-8.744099749578872,-7.1832098478510815
500,,-14.454508054228976,-3.846755527153501,-19.355942026639852,-14.25673449558616,-15.829243088229894,-14.79851782464834,-17.845784659133834,-17.710066747699802,-17.13102373178074,-12.243522398132429,-11.928170716583216,-16.371192420943714,-9.267905420551934,-8.722063446372179
750,,-14.70094905634143,-4.15302711362875,-18.851985149163024,-12.665093058799554,-14.178426068451287,-16.04858061131686,-13.66284947194271,-14.83048412553281,-12.803940349726446,-9.415930000312075,-8.360381320356701,-15.528415095501982,-7.717881472162691,-10.596814718939893
999,,-16.249318161853207,-9.383444616868196,-17.4568807840962,-15.23358702120846,-14.261786795817777,-17.725752271294812,-13.176714483319795,-15.878407451267575,-14.41216341207574,-12.378899150061862,-9.771356158514507,-16.2485766805375,-9.63323352402464,-11.469682011095305
1249,,-16.139707807212858,-8.685488279453589,-18.79835003434977,-17.142991743177614,-14.445622757441452,-17.065803897799608,-16.465516634064045,-14.07883123931564,-16.9357098332031,-15.85202019438315,-14.03665046674256,-17.562673654063577,-11.53537686503941,-11.921037889534883
1499,,-16.28056167263094,-8.951607463360231,-17.866533386743555,-17.58889471370249,-13.384346701238051,-13.670404596301752,-14.399382241457335,-13.335521691452453,-17.16564193622155,-20.128770244711237,-14.544546614057117,-16.257521161794564,-10.49855075324166,-12.96801040135653
1749,,-20.32606982442153,-9.868776402059083,-18.66045652166093,-18.327087221273985,-15.18928170664972,-13.213948786022948,-14.656912406071203,-15.381067272903078,-15.681677262166202,-17.438951125055628,-20.111003530296912,-18.70079129276465,-12.579743164092374,-13.818056979809024
1999,,-19.29794010778599,-9.816325086392606,-15.820946273822358,-18.307829680591663,-15.408353165368002,-11.803297434598644,-13.323330525558177,-14.25352590067816,-16.538197777859963,-14.134742805974524,-19.64231925019515,-20.561022134772152,-12.409303340675972,-13.351517527863844
2249,,-16.049464838487093,-11.08105757984525,-14.578836378049523,-17.681831880230845,-14.329007996414528,-12.110955228949356,-15.239811309886935,-14.932381621470336,-17.491828915083257,-13.000545401223713,-16.122124211305938,-15.478455892566853,-13.282013321763507,-15.546223044049723
2499,,-17.41302633185544,-11.15357150085487,-15.159975449571178,-15.642021805319365,-16.01023979298019,-15.248376626467795,-15.12759349930958,-16.301578640713114,-17.646770251329357,-13.526803886371608,-14.231243754288167,-16.78033265760273,-13.620384516766435,-15.051586299872582
2749,,-19.93367798100409,-12.385819025306128,-14.959019327585844,-15.868546275277422,-17.61341035917004,-15.464476583142826,-16.062513386031878,-14.538580681455366,-14.603405526472988,-16.517362856694234,-14.28789873411252,-16.08348627143944,-13.550679641344114,-14.154982680510155
2998,,-22.353602349855077,-13.399162887988949,-14.204264787354044,-18.48320326281608,-18.65436956783876,-17.838496313447983,-14.346164694351414,-15.89973985052804,-14.899580444453235,-20.33334600638924,-16.738733840520123,-16.696517778271495,-14.5446655828664,-16.57511818078372
3248,,-19.23549488823884,-14.173593890879124,-15.146278423779258,-19.459725454634697,-15.300176767248429,-16.55777659986359,-16.387791151979783,-17.240340892313178,-14.767723342910903,-21.46685920814687,-16.9071509077575,-16.213239908213318,-18.663910886419615,-16.681767866182412
3498,,-17.402663009644016,-11.8041212121707,-13.783922037489972,-17.89714548034744,-14.538200757138522,-16.56541447669238,-17.38064785059192,-15.457090922769568,-16.50248355652009,-16.665436041440447,-14.958351258966552,-15.583993804401093,-16.498035935183218,-14.695630843176296
3748,,-19.3965898077916,-11.313562039468655,-16.48681185987887,-16.203927488524062,-15.266763892125365,-18.045223027686315,-15.658809969382766,-14.845609243346177,-18.74114016037421,-14.947975963248556,-13.87672091206885,-15.8231521766663,-13.152654882257815,-15.365088181824555
3998,,-16.66678479149513,-11.42523857207542,-18.33018388362092,-13.389708958250791,-16.286148297778183,-17.054515205372677,-15.613574388875232,-14.650448452981369,-20.03792879776471,-14.93643609836708,-14.218413118602635,-13.516802483165232,-12.672733382881278,-14.44085306455286
4248,,-16.075258648459815,-12.767830889688502,-18.345813172000373,-16.55733467386089,-15.913772896159642,-17.020983537314834,-18.54202206444024,-18.721560736483056,-18.50175213004883,-18.48254050388026,-16.766343722007903,-14.176390528375537,-15.71858471837465,-13.636000976589528
4498,,-15.549091780710212,-9.901534033173611,-19.47920135189684,-15.681796883288213,-15.094600504728838,-17.990707714814288,-16.80462918533513,-17.91473985153023,-16.187340406447458,-17.274223909238604,-16.506256620114296,-15.709595703861549,-16.343738087031372,-11.299606062741994
4748,,-16.065971455416197,-9.07715717738452,-20.04187963780865,-14.5186124067326,-16.773032452633622,-13.5201051973916,-13.674945427942832,-15.84078108004634,-14.653769686681336,-15.980284768777668,-18.52557631820949,-16.313516183050247,-16.08165123152641,-9.091304216134636
4997,,-17.111997112436068,-9.286497446159936,-20.46387522944935,-14.343909587290568,-17.568019685759502,-15.915428134959344,-14.445798688112465,-17.263175380562053,-14.390883296340046,-12.639898927005952,-17.100338383717702,-16.730241099978723,-16.724320490874234,-12.319927824860912
5247,,-16.69923079523645,-5.3074673267505,-17.486760861992668,-15.176369727581118,-16.061356456137194,-18.762638571544187,-15.867055578976226,-15.881744420892169,-16.230561254297406,-12.13778424470956,-16.241694433355768,-18.184124429942543,-17.64427105181456,-16.260447576530236
5497,,-18.907207014858216,-3.346842139955626,-17.198941365800053,-16.934934631700337,-16.36749789183331,-16.709817268142572,-12.886965015567014,-16.221009534405137,-19.80428339265363,-17.511271477366805,-14.9895871032166,-16.464399209714305,-14.935175155119108,-11.115900720507488
5747,,-18.09717666609125,-4.27270121236935,-20.017836060107605,-14.568986787079794,-16.223654405887984,-15.07849233914156,-14.08839599764966,-16.02223757823047,-16.80645513363006,-17.818768082513657,-15.178198728800226,-12.931667737197897,-12.109329933836133,-12.376732608459264
5997,,-13.64184544445066,-7.976911680256372,-16.445673709483874,-17.142828353799835,-17.75207759122886,-14.516861005953611,-17.605207319497502,-15.14630402672562,-16.04745344132545,-15.4310950542377,-14.488612525449383,-15.91030207125871,-11.29345510644237,-17.864673377085335
6247,,-14.04052887158038,-11.942211211372124,-16.077780515123766,-16.91634738081062,-17.945651194356348,-15.385579151915731,-16.019475815166544,-12.919789392485772,-16.88686113430369,-14.12062723391591,-14.487920684521976,-16.857160335857728,-12.506175234507522,-13.452550945624688
6497,,-16.477528316248495,-8.215426050284648,-18.43235780147142,-14.74086908844087,-15.753120086642443,-16.931502131003473,-15.951900103717518,-13.9633462665425,-18.79235105155583,-13.652591229243498,-13.139410494112347,-17.956692117538932,-13.769917605885636,-12.452427715086763
