timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
4498,,-7.369543766094022,-2.241725329532622,-9.613852567100212,-2.1153357079126978,-1.776985131982403,-3.8754839989723022,-6.391515793164412,-9.16552189939114,-4.060457861987616,-0.5748297528796537,-3.924703633284997,-7.622371915930703,-4.884754714625293,-7.788079226766217
4748,,-5.235871438998329,0.1635501967515517,-10.492227826798915,-1.9755863826687612,-1.6448400276395736,-1.7849590344656117,-5.347464218426412,-10.117926621886802,-2.335976660348455,-1.4400365651014082,1.0917747468483014,-4.307332707489712,-3.5958357488501216,-2.645158287863572
4998,,-2.880680471797386,-1.0297129885738423,-9.970367733312704,-2.592531360625427,-6.492002132146292,-6.842124145823226,-2.4586179031902256,-9.990347017119497,-2.1538134444207016,-3.3171411583459247,3.73765298888952,-1.0439053472270017,-1.5871328821522968,-1.0250006887405314
5247,,-3.646565067776555,-3.261212155065759,-6.923720123233227,-3.8563048804906734,-6.492792870456231,-5.302618694483975,-1.3540316663665386,-9.353811005453997,-3.16559213568798,-0.8419790919742125,3.7916221811912902,-1.862252952608128,-1.7549714014413236,0.404927043868882
5497,,-4.398788755283541,-0.9773763767581228,-7.317839855363949,-5.160032795680626,-5.542702728737851,-4.626514183211677,-3.0167991101129745,-8.23268128721075,-4.146909323509869,0.6564036659509793,1.7968310978142448,-4.653640268676296,-1.311681992714086,-1.5921866410142336
5747,,-7.936348620760785,1.3107068810015798,-10.89967747485641,-7.220605107552977,-3.347733001893309,-6.3171029754046994,-7.144632965984192,-5.468347671960361,-5.673676623766083,-0.8667401531640904,-1.4368546656916312,-7.381893566298765,-1.7896796012815963,-2.369308531340436
5997,,-6.233243924062156,-0.7759164039949393,-15.383794056391464,-8.928752897138335,-4.159250322300555,-7.077186173608308,-6.063071919994546,-7.227942270541776,-3.568612124092589,-2.2356353311380146,-0.8932298739770881,-4.409521389828937,-2.300278482658089,-3.2656405596411533
6247,,-3.466013254120341,1.595203196967666,-15.99218683745165,-6.706357308178744,-5.252184106861212,-6.254498918382049,-9.24465714950294,-5.868236327188984,-1.967968831166439,-4.84249708188448,-0.1311375280767275,-3.2171715851154903,-0.9222397173683012,-3.0388804737754453
6497,,-4.29656791413681,1.4882560848779212,-14.628328957836626,-6.122276293291687,-7.356237090353179,-6.139264104717746,-6.473688012746789,-6.603818709818051,-1.669406983591837,-4.791331858722321,-1.3298728526861865,-5.044489194854391,-5.133567640483009,-1.252899695901698
6747,,-5.822155849850458,0.423660801940438,-10.630273846422131,-4.591278921464886,-7.860241003479818,-5.1185510270508905,-4.797820456355369,-5.618965642490372,-1.4094229625303691,-3.364565577845494,-2.349395599642063,-7.324871786526716,-6.3808749063290495,-2.209667049492105
6997,,-4.46908406154266,-2.283254548186695,-9.8488629333146,-6.628940028100705,-8.565495917651715,-6.25801366972118,-5.91272580159565,-4.970581301070568,-2.2523946561810653,-5.323385341156764,-0.0599937361581339,-8.153482154901756,-4.209851743691836,-3.834351064870396
7246,,-5.86004894791362,-4.020157773174523,-10.027486192675957,-3.9401993994689377,-3.66406089966508,-5.138598048269976,-6.475927837731371,-5.715428038118912,-5.838553089154468,-4.792231456652835,0.2865341293472614,-5.657262503196105,-2.5928978973444994,-1.6972770977557672
7496,,-8.230652106075507,-3.0343000107461595,-9.09136424513848,-4.20348992421127,-4.369781379932056,-5.8691500037273485,-10.580570213789414,-6.948582494029169,-7.527489217034454,-2.196699441992656,-0.3436206685604054,-4.915557612880748,-4.164066999895,-1.7708365516157163
7746,,-9.61412317295878,2.111252448784966,-6.478329936780383,-8.051826376419331,-4.438870462995618,-9.308199640317142,-8.470162280333792,-11.112809913478056,-5.111129214918607,-1.6603116289638329,-0.6573497190897503,-5.0748970729423,-3.3167189274174897,-0.7888161806706123
7996,,-10.67176186760056,2.658831554081333,-7.978465225810622,-10.02660891810946,-5.154561458369475,-3.7367606806520346,-6.821816032717733,-8.72256112712018,-3.224695567006708,-2.790630121309152,-2.9341268908744143,-4.1661109235390175,-4.8684099622369175,-3.2705938122632165
8246,,-9.629694114858268,-1.9980302165200752,-7.451256156068712,-7.596880496128469,-6.0582678505196,-4.324632522606605,-6.971149175794915,-10.16528115450652,-3.895306939320421,-2.3435533638514365,-4.81338344619541,-6.424859900565245,-3.329462781744446,-9.330724296456902
