timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
0,,-10.108583183800508,2.136266726247732,-11.996035441260515,-1.74153839945596,-7.366910983284293,-9.278486897493552,-8.696647570358994,-1.4194204894481124,-3.129277563644443,-1.9451130804244727,-5.0535555314567375,-6.359198246496575,-5.12768727642352,-1.6513405684644589
250,,-10.81236878772021,1.087695334958197,-11.09658906040809,-5.973737917027061,-6.359894908308771,-6.7544026873024166,-7.8306662450560065,-7.179394571153277,-4.224468519090923,-5.333443472332847,-2.393841191475293,-6.172076753402603,-2.678028442216803,-4.101895198563525
500,,-3.4187499282805165,5.314122498773045,-10.489502172146334,-5.101061061204724,-4.758583381832465,-3.5190668964830287,-5.597317556065983,-6.216432201136532,-4.359156319436801,-4.001651433363101,1.3918253030751768,-3.596836998552033,2.917824553869351,0.5920850662486425
750,,-4.013350745173377,6.4783768232217485,-12.65234004393782,-4.486531134620366,-5.8588122515341965,-3.791339670786353,-5.373043045215493,-1.8263645036205889,-1.861230028645024,0.4947781685949345,3.473898580311428,-5.148788944180279,5.261996620388541,0.3309187415026865
999,,-10.512445536089428,3.8454386370231712,-7.845991200279489,-9.066918896759384,-3.980149407221949,-3.756048408967586,-5.594469727185171,-5.736253744667547,-4.786210517036714,-1.667325421154505,-0.1816247515427538,-6.286954522944768,3.697981452540912,-4.526454290306992
1249,,-13.097140345295855,-1.296385958599218,-9.365976992240965,-5.972530065165396,-4.481935101527694,-3.9170047456212576,-7.635912305797746,-9.449206447285034,-10.08202113245055,-9.838768963831004,-10.68512494226974,-8.445129730157413,-0.7261608925888681,-5.822396141200427
1499,,-9.534221917927669,-0.2123946913329027,-10.823488978527395,-3.63247099645964,-3.464925005369776,-1.630221779429028,-4.110323319993693,-8.892867619908166,-6.58073880340673,-6.965169660232274,-9.214485278644124,-5.554237134640367,-3.9673033576071535,-5.117617530706598
1749,,-11.768808301400364,-3.354133846729198,-8.748365538700204,-5.212733993850689,-4.706892541683869,-4.155248172448898,-3.738524267518824,-6.76654135650041,-8.42753913020085,-9.973634504487766,-10.784200380079302,-4.794794279762332,-0.5568336332600075,-3.841429799560253
1999,,-9.15396786299689,-4.624455888076239,-8.687999248846305,-7.212495646270155,-7.056539220921091,-3.265709570962115,-3.767155084745109,-5.058260040159672,-6.440635202890928,-10.342682432954009,-10.4185348014666,-7.270843940348104,0.0531481490892426,-4.157945218667499
2249,,-6.654441383871975,-3.997522415259806,-10.659001435426294,-5.225396161845052,-5.381286747850008,-2.3837355336146078,-4.679710747554563,-5.98944671946671,-6.156349884108795,-6.438485326316141,-4.08862562679658,-10.218616994257896,-1.7292946193462422,-0.2362244613291153
