timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
0,,-12.237714465064569,-1.9717007731719431,-16.665519835870104,-9.010044668220855,-11.394645071172452,-14.546783215438374,-12.97552278788499,-11.378797392526923,-11.878366186607405,-14.931922649624852,-9.21479023081693,-16.64104886575933,-4.733031695027318,-12.21800871159584
250,,-11.029597565491942,-0.8434508393305186,-14.855002624654473,-7.105172741815661,-12.061793106180216,-13.476773183766952,-13.990959736221177,-10.234041840893315,-11.336997883875435,-12.217509834858188,-6.606888319041828,-14.258356950771752,-0.4614239974592489,-9.133362468232471
500,,-9.609277974711407,0.99089820783546,-14.890980626541378,-6.29045220950129,-11.258444183921553,-12.10634506379847,-13.145760907299923,-14.331444318501951,-14.7445926211372,-14.966802126372286,-7.5273610546045555,-16.75313500370627,-1.2591195289460415,-11.157375129980204
750,,-7.951236687716791,2.359361249432593,-17.284063796277586,-4.453415734893569,-11.721600383382398,-14.70206015549062,-10.604755759229132,-12.126919535811398,-12.710940373787514,-13.415785206703056,-10.493645654502416,-16.397545650784945,-1.6006907954348004,-10.144389206601668
1000,,-10.255175396155206,-1.4632684142172463,-15.824052539069577,-7.060979593806448,-14.060692084269448,-17.446400415897962,-13.352647483738796,-10.891248481095657,-13.97148473274785,-15.367054050918668,-11.820063171708629,-15.809699177620464,-4.68664696318411,-12.784382571189116
1249,,-11.825518648285067,-4.257425652698182,-15.294711902529349,-9.70674294626675,-12.975504430983602,-16.858331886540388,-11.336717448516234,-12.12828946790588,-14.428178003256916,-13.061597301057738,-10.399823694995202,-18.31307773651726,-8.589441411175667,-13.924423053903398
1499,,-10.928716571809494,-5.366106394733952,-18.39249331401605,-11.87046376918067,-12.45713126110551,-15.085178010578195,-11.104161491877276,-12.649507722764191,-14.729763016528532,-14.037533379027954,-13.813232259712567,-19.738606030427835,-5.150109471771451,-13.679160672149616
1749,,-12.592543732200918,-5.747195703889384,-19.788630499681343,-13.763558641591054,-15.283710526174865,-15.44656265998924,-12.798282582593911,-18.007462422097753,-17.33309585594492,-15.675146969906107,-15.91647336544616,-19.540179066211955,-2.384611723342028,-15.461394639368418
1999,,-13.767179615981586,-2.78878264605428,-19.390796662255585,-11.454158902879248,-17.810624841816317,-18.76006209254922,-13.936906816312892,-14.814339438903945,-16.686472652225092,-14.08026448215602,-15.417759176090966,-16.505820503220917,-5.887945941317708,-15.551552791398482
2249,,-15.204933452369652,-4.005173884043646,-17.85119240696154,-12.4090366535817,-17.47921324754365,-18.4484794397909,-14.790803692813212,-10.716458597865744,-13.894390229258876,-14.024287973755891,-12.220955563566406,-16.9939735312625,-6.635990740630935,-16.69767678852351
2499,,-13.17418672635818,-6.71333870775857,-17.406244528881512,-11.430920505884178,-15.829036259120834,-16.60569281950912,-14.845567531475286,-9.686973561807251,-14.672148627241688,-11.378769272044073,-12.34930933414864,-17.878627615450966,-4.040566407005686,-14.427663549514069
2749,,-11.283948776910062,-0.5354762645285247,-16.86922503982988,-7.822904819825438,-13.374463914024528,-15.7346116706004,-14.774454667913986,-11.345807668346197,-13.3014561674309,-9.92420702071574,-14.422686231305786,-17.958173325496524,-1.7922869631342797,-11.69802607890886
2999,,-10.864213785684758,0.7285857429670579,-16.247109378798086,-5.696853975353845,-11.369430730866952,-12.688205327418556,-12.266081257788596,-13.770921397927063,-11.661749752039889,-10.457973246657442,-10.5999972889059,-15.04763655018431,-2.7830745066974805,-12.020587947187204
3248,,-8.312462902819151,-6.338184983331051,-17.066619582621602,-9.927070395913743,-9.675448251423752,-13.36999308375142,-11.176982945122717,-13.05829421288692,-9.657602963190667,-8.43928879562004,-9.6522640018676,-16.678408495436063,-1.6830459393364137,-11.330486979254488
3498,,-12.192627616447238,-6.61155624586533,-18.33141944714314,-11.543312651524952,-12.651513135302617,-15.9439314715357,-12.557928336871974,-15.8990168434275,-12.539732479042993,-11.091814245338664,-10.495921971094152,-17.450854961096827,-2.3361174862664646,-12.43248542038922
3748,,-16.243364029233444,-6.53152609786175,-19.44322179818444,-12.49988476273491,-14.377184622803004,-14.402376761296736,-16.89733499527138,-17.09354279043166,-17.79888556101789,-12.474539670987486,-13.769669753440883,-17.542634851833498,-5.648052441814913,-16.99101830493953
3998,,-16.105051811314425,-6.848153415511503,-19.507605733841032,-14.176374002936829,-12.331664187394267,-10.715086824258735,-12.163276093027877,-16.393825979222413,-16.32189604491042,-14.69919902234796,-12.553329760415997,-18.05038989498255,-4.697214641698512,-15.471554690511706
4248,,-10.594594060120048,-5.872782606266011,-18.586371039156692,-13.779711296263349,-13.637431341627234,-10.76082186145808,-10.49455988030796,-14.946924633695364,-16.26268149305046,-12.34851211795742,-12.831719086990915,-15.156863949830797,-4.43399526905006,-12.2619700550084
4498,,-8.253286830560484,-6.9618263903239175,-18.562157422610728,-13.501961221802674,-13.896764116264675,-15.019314389860153,-11.091793535435334,-14.551901308896154,-15.377186826057622,-13.960996548309154,-14.703669951592646,-17.002383703307828,-5.69685661445411,-14.00999168088181
4748,,-11.697824467510532,-9.981364747214943,-21.18383217135221,-15.369227559108188,-15.917399404998596,-17.44459183872035,-11.400418942478474,-14.293443828233324,-14.801899172741228,-16.68009158878156,-14.527499025233784,-19.209071052569094,-7.99278578635621,-17.495698756233324
4998,,-14.80569630824492,-6.373749770104128,-19.481596553935493,-11.822363264883052,-12.086460693537134,-17.723971830788564,-13.922322929023936,-12.958261589369434,-17.817790273417305,-14.864500129159046,-15.126920550393129,-16.205820597856366,-7.475918431809653,-12.403776232115742
5247,,-11.448014925838915,-2.028104092325215,-14.713063159502497,-7.420711135103436,-9.943014842726946,-15.504466917647717,-18.64468584035505,-12.285361336157994,-14.984976096499082,-14.524464611529064,-12.708535512524474,-15.520322047744212,-3.681027408332752,-12.663463519749884
5497,,-11.281389619067792,-4.115894096557055,-15.912521380562794,-7.19899298885033,-15.145546937616164,-13.986823925949237,-19.48818525619111,-12.260924647003884,-14.395023462469569,-13.896194069764924,-10.009225348897148,-18.70291033053312,-6.3792956002842764,-18.885006458693777
5747,,-12.11740537230792,-3.2375026926323844,-20.6594058883625,-9.120061557273456,-15.035202171093516,-14.356620901554235,-18.20596566914198,-13.765045787229166,-18.18837173686305,-13.640798115237164,-10.146444834457188,-20.34625583978851,-6.296661796890216,-15.935633317198672
5997,,-12.983771986042267,-4.560317875510175,-22.56017037728356,-13.87642369356577,-13.561314496426712,-15.315781034820318,-16.447561813087603,-15.579870019300476,-19.233054937321214,-14.091290992898426,-12.891586150703349,-20.621305606948425,-5.154310400765957,-18.52771013579779
6247,,-13.859972727646143,-5.092234983076517,-19.616080736554387,-16.43028376055061,-13.464080251786202,-16.542796753553947,-13.67342162418987,-15.945547608937964,-16.34631245596015,-15.588808842598532,-14.39661325956606,-22.342594144396514,-9.263428166822711,-16.95605305113751
6497,,-16.050542732597577,-8.78734019429041,-20.32496822514115,-19.1701384733067,-17.607182681634548,-16.62482668909305,-14.893776874078895,-17.654047891316885,-16.70198975909573,-15.259616829220368,-16.38435853944172,-21.57298416119451,-13.008845089603282,-14.226922908209476
6747,,-17.432704713619405,-9.306195967799132,-18.470278545973,-15.266199443769176,-18.078764936647858,-14.997393422188717,-15.848882444048511,-16.104557208896388,-15.783772692254644,-16.21318667870217,-17.907196138193516,-22.52194885283822,-14.87456604686976,-16.237159337819808
6997,,-18.73139107447035,-11.215908463995747,-10.418594525750516,-11.191027724751404,-17.015429262017957,-14.880053434739857,-15.286587619094757,-11.371462621472762,-17.03342608231177,-16.642558932623945,-20.1074828214726,-18.295708719532797,-13.8920069077666,-18.8933360046222
7246,,-16.45252436470229,-11.798769913283444,-10.93879066103831,-8.920010843970147,-14.918343581667628,-16.22220206532824,-17.524120695161663,-11.955878401440996,-19.36937853917701,-15.627967231626476,-13.614923242510892,-17.532725340167673,-7.620717567086221,-18.87611343918928
7496,,-13.51685058671551,-8.349416007187266,-16.06966209670526,-11.0554404310036,-12.430915978131177,-13.729070600888472,-14.220472177402886,-14.93155815284319,-16.944304912290175,-15.02839208146264,-12.092303132993148,-16.755947005995537,-5.478854419094789,-16.0132842379898
7746,,-13.68836347957939,-6.969954103444014,-18.246322262298417,-15.511206465810076,-14.758098132864244,-15.188612715640897,-15.652822445049043,-15.47529125949527,-14.998869669165046,-13.588517181318032,-11.82284779883024,-18.371200450590404,-8.915758988092486,-14.590047718010586
7996,,-13.555715929062856,-8.593389491816104,-19.37124442934168,-16.60490344079026,-16.092666603029098,-19.267096531799364,-17.34369218454749,-16.478258195805587,-15.389798139110948,-13.780587448702988,-12.073327977365668,-16.171498886057417,-9.45024451542724,-16.4075711555666
8246,,-13.806796781483389,-11.84333742933273,-17.031962556752823,-16.91202363894174,-14.141983610251188,-17.62299772070822,-16.928584674794454,-18.184695411241275,-15.3365764711852,-14.679496574760565,-17.506745035199984,-15.139736731713748,-8.235412898088876,-19.263533817007996
8496,,-9.149568884565388,-12.719330480315856,-15.88557206556126,-13.978257226448532,-11.164084879242049,-16.192644110664066,-14.455239402184208,-16.499352386619893,-16.46080344842847,-17.18328125399345,-14.310494135659296,-16.272239678368617,-11.35854508166875,-16.023389827365868
8746,,-10.123443249359871,-9.760531666476409,-16.815522117318295,-14.814870484771324,-12.84426097361576,-15.188123151461587,-13.215747536749769,-15.769060754016095,-14.750003706891292,-17.617474819328798,-13.095166952778976,-18.5212868538772,-10.619140716031833,-14.813185804004227
8996,,-13.98052988917498,-10.44125590821727,-20.758606844247627,-15.738468758972246,-15.941796589866918,-14.648406685413844,-14.948072643633497,-17.19441156946888,-14.861918568299792,-16.62204509019451,-13.949575955793458,-20.50574541448348,-7.108007020624322,-16.139461393987084
9245,,-14.754949410411784,-8.126193981287273,-22.902176203722554,-15.596482433476895,-15.178559058886297,-15.30875773479206,-13.891909918188832,-14.98299155305734,-17.60030049111904,-15.589654095480896,-13.077535752634828,-15.764277144273084,-6.815877267088818,-16.809516742698637
9495,,-16.86306567907248,-7.012915902834784,-21.679440385312056,-16.083183561511337,-14.288238623732274,-18.29228968352984,-14.229807326377772,-14.29226349982646,-17.96679456443892,-16.458998701910946,-11.744669482146485,-16.364756200116627,-5.328334060131704,-16.500197221549243
9745,,-17.99272517844565,-6.758370589997522,-21.044585668310667,-12.411097937145753,-15.530117853272174,-18.48922476886508,-15.491995636070806,-15.45274422949188,-14.086177108831247,-16.42324050424015,-13.129638053382193,-18.665367886971545,-8.43523819858598,-18.95890100968932
9995,,-16.41940580376683,-8.463780476599986,-19.94921136911487,-15.114434326759184,-13.665391136107296,-15.481497639166175,-14.19053901020819,-15.241215365685342,-14.778340744813006,-16.139664305898457,-14.44770243777598,-13.351668559976506,-9.415614105996491,-15.13213094782823
10245,,-12.95326005815796,-9.370783865689509,-15.242430797594947,-14.64542991939526,-14.04789290164362,-13.634931655424008,-13.94042320124174,-15.838424249341532,-16.29080095829086,-15.533867474268764,-13.825685710295264,-10.139849474593731,-6.055757942477429,-14.92932821752284
10495,,-5.864142390866892,-5.670441418858268,-14.375494173554149,-8.194970221964716,-12.394217897020017,-12.42905811352426,-10.619565566228388,-14.74968498822342,-13.662383765065018,-12.911587799718877,-10.513844785646334,-13.942341166629326,-7.528592203396886,-8.621705786592818
10745,,-6.378584921026816,-1.664624949287722,-14.035630912091042,-5.958209668268275,-11.909235614929832,-12.061934837397,-11.471284285185664,-14.645067720238616,-13.76069814309323,-12.884583365088847,-8.474385792517616,-13.810127945035106,-5.401089533376421,-9.108374314655965
10995,,-12.814595424501729,0.2173440354910387,-15.964249764898405,-8.409504754522226,-11.019104951311196,-13.95754216908608,-12.544087497451804,-14.90705563830953,-14.397928562144314,-11.57004431715628,-7.399975921928624,-14.60213439337712,-0.0562459394901372,-15.946362733108554
