timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
0,,-0.2341254337775898,5.64692376758193,-11.441231092416942,-1.0859582102039944,-3.995267840780165,-2.097207386283286,-3.6208102710364662,-7.18251850857908,-5.931382380806486,-4.750699945073831,-6.534952183774011,-8.774542386464436,3.0484337143761424,-6.007695022532471
250,,4.228009296653075,9.856702606142136,-8.404506236757172,0.1564906212673414,-1.7130002106587994,-1.8019079728695155,-6.449916596030954,-6.502702474358331,-4.5569924623068845,-3.3590760419905603,-2.98883580404104,-10.690588902437929,7.637228197667102,-2.9251285627577746
500,,0.8487902661895623,10.72420639395183,-10.218995923862346,-0.0455436789988001,-2.710696519036156,-3.837099261024469,-6.843892633735066,-8.244138988483742,-6.048666677643404,-6.680188116470571,-1.8421376659184312,-8.566816624653276,4.070342053965804,-5.562841837492771
750,,1.2136377336867372,12.344180005699569,-8.677593932256466,2.0434190338511766,-5.039729608431294,-4.57831647248259,-5.909917366334509,-5.477481521495076,-3.4841446231215296,-9.215245659256968,-5.10827364616866,-7.531342422836769,2.3592432451757213,-3.9787475056835055
1000,,-1.4085017770859776,5.597035142557695,-11.072128283290557,-1.1916540851726445,-10.070210959288456,-6.852298214825908,-3.509517758921733,-2.863006787206502,-3.525963619017209,-9.956819385956328,-7.047152194385513,-9.99507895006219,3.734457534208804,-4.933414080658045
1249,,-6.943925527133694,0.6924764356137265,-14.603842286536468,-2.2210379581390844,-5.858050790729362,-14.939704693831608,-4.624853618432229,-5.300220266504415,-3.830072179833095,-7.832896662919975,-3.718394898002286,-12.360544416099334,1.8978411657549064,-3.973583219655345
1499,,-7.745650519164946,-0.6648225290614479,-12.033817284651713,-3.2604312902338437,-4.444898668107968,-12.158385645757154,-5.260891291629419,-5.570570833826485,-6.54739585920789,-6.182197457042178,-2.3734178389964544,-12.785646671231593,1.7998064364173665,-4.102155618590372
1749,,-7.348108005469277,-2.7579850621367057,-7.5195232269618,-0.2400057055751745,-7.065415164502316,-12.04956419064084,-8.101422066860689,-7.334096179537697,-10.890615719995916,-8.135492450048886,-2.3910222432711112,-12.689741190100923,1.1188144513267593,-6.128864733219169
1999,,-9.331220311887058,-0.0572133888877653,-7.524792784730055,-2.141708754403329,-9.31187949030032,-10.359434456663138,-6.770433417607733,-10.321459516524856,-8.004787929189453,-5.504267889786613,-3.042676087786302,-12.704741014200064,2.476810842437659,-8.981333968971615
2249,,-4.413420488857687,1.45203331947561,-10.532192565953435,-3.7170392153289455,-5.525268313395988,-7.776086017908703,-6.008756333487267,-3.2799644443895497,-2.00507675426778,-3.492691078575338,-5.461353749511707,-13.4748663520894,0.3350191309497429,-7.315365932310749
