timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
2499,,-5.929211658039357,-5.6016074435179375,-9.19118711474799,-4.602505365684854,-6.103267455054961,-3.135938843089012,-6.342867238440292,-4.926764372997474,-6.566302334422555,2.977540960267344,0.5895924264115511,-4.132110266643113,3.5155244269640047,-5.404444639801992
2749,,-8.927644382542478,-4.398936764633535,-11.160740070203117,-3.920461558381305,-8.325393821226951,-4.250455441651187,-8.199121486667625,-12.490164144170784,-6.4809177723043065,-1.3705508448913704,1.0440816619888396,-4.954482391423626,3.0953497930628417,-7.784604274212766
2999,,-10.498957670041,-1.766099476923218,-9.184475418507018,-4.751126758922761,-9.57370579924276,-3.556596992196686,-8.80518209723327,-13.364266670451768,-5.66787953271302,-2.418735838582475,2.812065326157944,-8.300890970046687,4.341285826102244,-4.477236350308537
3248,,-10.654022936509438,0.5196366606737433,-11.514802559211194,-3.627578716121691,-4.186982415290478,-3.2455786657104757,-9.420395314095993,-7.568368868803715,-6.616343863930151,-6.818531942157962,2.514868191301065,-12.860750446532748,3.241726231080308,-4.61378602391414
3498,,-10.766942543197008,-1.3648563588177407,-12.98712874245854,-3.572855210960572,-4.032821719628253,-6.073258280147736,-8.502860453885821,-11.3639750153888,-5.145324364481723,-1.8830903594059407,1.029005260499701,-10.911366793174349,-0.9180216254654416,-9.381297427575902
3748,,-7.609672844006865,0.2225882837859248,-12.226045251135083,-9.153068065031531,-10.5278012389688,-2.270817223465773,-6.709098373497016,-12.623139546552238,-5.325783267173972,-1.7972824901918318,-0.3486934171221518,-7.610891816540751,5.059695202628057,-9.307193291156118
3998,,-5.801267831505403,-0.9648522405296562,-13.6981217927984,-7.747518329917465,-14.826603394173556,-5.467790789870238,-10.817294132869051,-6.908525859795662,-4.243303896078444,-1.382591358005727,-1.1302988754903938,-5.489994871958938,9.0710387380123,-9.170217930290825
4248,,-5.197500418135739,-3.897971848784021,-9.932697102000224,-4.28394016479194,-14.862005682901785,-3.431012540442687,-10.26534268993026,-4.9088083939269564,-3.994213869202548,-0.789017794456564,-1.0396252107250907,-3.726647555872078,7.638934853685479,-8.96253019391484
4498,,-7.525861512170305,-2.0328223327212958,-10.310351686537384,-5.531286067725518,-7.731861144313369,-3.892376141993039,-9.51899110671282,-7.521649095351802,-5.490711025183673,-7.247737948494638,-0.8078615928992021,-9.169692669097431,3.988708239772989,-10.474497857520342
4748,,-13.481880433486364,-0.4359381647114408,-11.419952325727106,-5.087812123470373,-6.831964863193932,-6.019793819407045,-7.618156616016757,-6.012015280342676,-2.319910941014669,-0.3011224292028772,0.9388100190714622,-9.99253891382948,3.086239879700168,-9.712306503154762
4998,,-9.12431015273659,1.0423680626172245,-10.59444536370144,-4.1776997110997405,-8.971131769686032,-4.337618629095785,-4.595807859335226,-5.663491667625373,-3.0485998874684754,2.248753903187028,-1.621970532934438,-8.40875649653289,4.122220186332964,-7.108628855613322
5247,,-8.436356245544394,-0.3709995832535593,-10.815431357956244,-4.485495925195506,-7.576773943351426,-4.56182452265841,-2.880913616886642,-9.147894092522296,-7.666257791587284,2.3199472565664743,2.123868591531299,-4.536640315349577,3.817719021424572,-6.54826024327003
5497,,-10.400559233325987,-2.4248396274644906,-9.205192401820504,-5.022451542201179,-10.820871447405436,-3.5030452571192523,-6.626731082780879,-14.289544862977856,-10.254976095376517,2.1917659772122544,-0.7051308448167098,-6.196841315226295,5.539290010143834,-11.296338613142186
5747,,-15.575701475373451,0.5540898109273911,-9.934114225723988,-3.081203906110033,-7.444741444692613,-3.0072353469394453,-6.769427043512194,-10.15958986924308,-13.019056265178977,-1.085784639118008,0.0947912449651642,-10.04204802422935,8.447554919982235,-11.603446052201011
5997,,-11.263561893121537,1.959681149204771,-9.79161864769708,-2.323554881064245,-6.662462728097075,-2.17879616253783,-5.355034318554877,-8.375266414636165,-6.162033028937085,2.5001835719416947,0.2915381710904913,-6.283795923324597,4.839331760458926,-4.988419197528776
6247,,-8.135047958035416,-0.2098356418831855,-8.744072842927748,-0.5336259705372915,-7.129224717720143,-6.518966215386008,-10.877845432226472,-8.573959102357966,-6.131855926764716,1.857765501039576,0.0511714506420441,-6.649574441699172,-0.0647568288482956,-3.973471374941895
