timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
0,,-17.974603047797263,-6.495755505730749,-18.391618671970814,-14.9777177822031,-10.955008418068935,-11.964288092817648,-15.19540165671094,-14.525293589279746,-10.045803099271346,-12.263630981342118,-12.917400480563415,-15.036833330911342,-12.742999273728392,-13.972773132336904
250,,-17.96142936493531,-8.188329521420775,-17.571664641011623,-14.330582856413052,-12.72638007383277,-10.250417346498915,-15.751948079006972,-13.94513256684258,-7.327791449416948,-11.923679246244635,-12.716233431349416,-14.458938658187344,-11.33675589592273,-11.694343908692794
500,,-14.358317307941116,-7.591210937229883,-18.24405072484189,-10.99259730604997,-10.60404318123866,-14.945277175529808,-10.50211033173886,-16.12841815102463,-8.841039747489814,-9.204739954408332,-11.70351822442367,-12.110078815997776,-13.515569630396987,-9.795621407466744
750,,-15.679577376901568,-10.072163771730384,-19.279501153396627,-11.992890061337212,-14.253636030196384,-13.32995917545363,-11.052849085710063,-18.344665992332686,-10.247617896207217,-10.925915205081829,-11.637954144766036,-13.381047932332882,-11.788023258832732,-9.887117109696865
1000,,-19.599165620368208,-11.844887518216328,-18.471117518815696,-14.207790663526376,-14.709388877278332,-12.855102703427963,-16.23760820280018,-17.45982994876398,-12.317067824599254,-11.501328130594736,-12.089310795444,-13.93300558244498,-12.596624240608502,-12.783447627408185
1249,,-15.851997803265654,-9.89627152879938,-17.503604461719245,-15.302399774501817,-13.99393111751182,-12.171530343007582,-12.741626548071784,-13.621260371196197,-12.105610722081328,-11.662382746711646,-10.567453672968634,-12.735859810998402,-12.910257266342269,-15.63149997030042
1499,,-16.26544067174001,-10.819822167963896,-16.17884107470459,-14.184918693174495,-14.02137599181881,-12.696882582889478,-13.301630568707314,-14.68333696687149,-10.610137357410531,-10.158482967887076,-12.505510141015774,-13.85251946412556,-13.106069419260855,-14.514008190414936
1749,,-16.963735947211514,-12.093440092400227,-19.14382244553446,-14.417020965768286,-12.43950286056413,-11.951308778744544,-15.064634035678813,-13.112749624103255,-10.13273189686008,-10.418873448746997,-13.498334769434106,-14.943662069273689,-12.467764047746464,-12.677392900508352
1999,,-15.927947375514073,-10.94156859922388,-20.728109425762185,-15.438276264614425,-12.265909136258117,-16.005885059964015,-15.073325887374851,-14.204304882216777,-10.309925209016562,-9.30673291919219,-12.534134334597011,-16.245731633641796,-16.229511675182337,-10.885137610683229
2249,,-18.44018923776718,-10.837260667217231,-21.91411868912601,-13.258094590926476,-14.024100692061849,-16.386813875769814,-13.460137704480715,-15.221665576781016,-10.13340087642656,-9.73169896787365,-10.690019124512586,-16.960707593839558,-14.906601596099556,-9.819708386480109
2499,,-18.72605057875228,-7.680556972896029,-18.433777911304794,-10.277436379043642,-10.735042740635816,-11.49880622023003,-13.686163872024444,-13.137709738838767,-10.993215394313328,-8.895833056017523,-11.923851946628512,-14.51226109837988,-14.563775463956873,-10.051104135673851
2749,,-17.687798514741306,-6.953979850540957,-18.033445495207296,-12.706443129586797,-9.166816609497715,-9.542004163619792,-14.400531803217726,-13.258104954706294,-8.601686304912501,-10.05456430768356,-10.487998537507298,-13.885588323749388,-15.754432326670882,-10.859443888157294
2999,,-17.541075368404908,-9.427546149610569,-17.663370331567243,-13.464849148210847,-10.3848265836329,-11.487409219687407,-15.290788655314598,-15.090904750025889,-9.414044008336225,-12.988255956617689,-10.40259757776332,-16.642272985744427,-14.586613046812252,-11.21344256556352
3248,,-15.933130740524224,-9.382239956680126,-17.23552926299639,-12.918972759361186,-12.52122577540554,-14.073287445931552,-16.8153274456424,-15.393978361674517,-11.65109474920736,-13.485295780658236,-10.488108026222744,-15.500259188624316,-11.07144511279188,-6.740258566054253
3498,,-12.90845595487224,-9.44325374983839,-16.803494808053355,-9.215729187917498,-16.323225896831328,-17.367404033558987,-14.529035883454998,-16.13962552125369,-10.237936567080848,-13.999668484805069,-10.455874647517566,-12.65323981612944,-9.832438626928557,-6.841476700222843
3748,,-12.065629703578317,-8.615328073179993,-16.041927520223954,-7.220306250712878,-18.99883631707133,-13.88591501268885,-12.296270889668858,-15.0179650965502,-7.994411042163836,-9.54299867367532,-8.853783198596354,-12.078373661001864,-8.596758015649431,-8.347809631009373
3998,,-14.93145147181967,-7.698312671956199,-16.585183424974062,-11.40810340000658,-13.001852911043786,-12.798608973458151,-11.241108522260449,-13.819655821323844,-10.65462962561637,-10.855708702619893,-7.879635789518062,-13.875458545262006,-8.132103793011463,-11.502145559022384
