timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
2499,,-12.848850461879074,-9.240086618964853,-15.732196875146723,-7.2087691210279825,-11.985551390792269,-14.887932725572872,-16.939906820791567,-18.974578861304327,-17.994854469461437,-5.239321194945502,-12.602184656759256,-16.919528447339264,-12.635161105906308,-8.427184001828461
2749,,-13.40893863257639,-10.282001356939569,-17.448577070556695,-9.759902631464744,-9.561036970042943,-12.694854137554207,-16.142586275920426,-19.13989286015708,-16.73057823888356,-8.283767762111856,-11.481149638611113,-17.836420562542877,-10.205473270969092,-10.43547478637044
2999,,-12.230213870247086,-6.880303391082156,-15.186287987331443,-12.386471107636696,-6.330569746490594,-10.160555746868727,-13.54079446036309,-15.45490341401079,-15.890785400828744,-11.452289195083736,-8.683888604964347,-13.669069606084554,-10.266019593638426,-11.2074115736631
3248,,-13.114744408832692,-6.535160236134883,-14.803968149543971,-9.507718799563545,-8.829706305104308,-10.621255935677231,-14.003663102074285,-14.199082889723956,-14.207973225820623,-10.460022822589124,-5.635229302369145,-13.666087227532522,-11.738269872489376,-9.66039194101304
3498,,-15.99682965187613,-10.482408652332095,-17.415809649364526,-8.92235281542803,-13.30986921244268,-12.33333621654306,-14.586454017879436,-18.175033154111464,-14.962014386102805,-11.508852086114432,-7.513359286812139,-16.065658627768933,-8.926256996682548,-8.483850282296451
3748,,-13.232212583892869,-9.675975334884289,-15.316721598456358,-7.093410512481909,-11.08254696091726,-12.874990218670789,-14.442257186740433,-18.38468017236736,-14.409583167348991,-14.16517662561083,-8.230901715808113,-15.512861033985264,-7.193955696088614,-10.087544678169042
3998,,-11.512587353058542,-9.222148560825897,-15.778022280670651,-7.361388501950195,-9.201299947505603,-11.985628377930782,-16.227399682945517,-15.917674394954206,-13.73552309589745,-10.034592333886804,-8.11659871109918,-15.683476818702884,-9.740051963037654,-9.171247486185305
4248,,-12.945854060231134,-11.375149714750767,-15.58461106264501,-5.250413774459808,-10.52632823119238,-15.143089234134624,-16.082983011120568,-17.87892949109931,-13.43304092201696,-8.155174713091558,-9.131408821758903,-16.57851620268653,-10.05441580078941,-8.644205007030667
4498,,-12.763812998332618,-9.187614805344266,-16.390414035651705,-1.943889568367819,-13.249266683861634,-18.34865857625706,-15.148569338076886,-16.497702016832466,-14.93468702887797,-5.591379850785181,-9.145389985804522,-15.594511718993854,-7.105491197238631,-8.721354017265439
4748,,-15.726122454273623,-9.014190383405838,-18.56096646347861,-5.550867670791751,-8.501901488099117,-13.394027427567076,-16.150656988574823,-16.190146618141586,-13.582577667039995,-7.539775943160332,-7.566017060496174,-15.187632435942756,-10.507679386706798,-7.487426963791155
