,before robot,after robot
eeg.af3,-0.02924226800217522,0.025715831158677906
eeg.f7,-0.0674453755460042,-0.42516653108368085
eeg.f3,0.027793693790797252,0.09384359712189076
eeg.fc5,8.990300211675569,16.011139662745002
eeg.t7,0.4795900937821287,0.6275452359921905
eeg.p7,0.2961760840104305,0.19695876131052525
eeg.o1,0.30709072800895,0.2982199459429069
eeg.o2,-0.025745847709420143,-0.009466077220824895
eeg.p8,-0.0332149620230852,0.0014300759725672462
eeg.t8,-0.14302446714925893,1.5331186762510014
eeg.fc6,0.5890534165106864,0.5571149570818272
eeg.f4,0.1445995741970567,0.28010413594590194
eeg.f8,-0.807071171491723,0.4669421092510803
eeg.af4,-3.756906133297258,-1.1085451336523395
