,before robot,after robot
eeg.af3,-0.0798400600240969,-0.2710686344677845
eeg.f7,3.324754094504319,0.8547491220494855
eeg.f3,0.036950196617365746,-0.1670060017923738
eeg.fc5,3.063802933754159,2.7062344131271074
eeg.t7,5.541410046604402,4.599313826094727
eeg.p7,-0.4068099663426395,-0.41928732634934374
eeg.o1,0.6256011890998943,0.22164118588702655
eeg.o2,0.10424541162408604,-0.04296821128247262
eeg.p8,0.1380438812603815,0.18637823056607675
eeg.t8,1.6657666301931813,1.576038190154312
eeg.fc6,-1.1521004287178391,-0.059847442877184555
eeg.f4,0.10301316789020212,0.06329475001704762
eeg.f8,-0.9805632060199614,-1.5646686232974396
eeg.af4,0.5821548340157509,0.4435047820628988
