,before robot,after robot
eeg.af3,0.050552023316453934,0.05832169068065283
eeg.f7,0.6237099686133016,0.3742603383612894
eeg.f3,-0.002943421518453425,-0.009567953987348669
eeg.fc5,0.11128697675487256,0.1442876978742073
eeg.t7,-0.011920372073892686,-0.015887374486674394
eeg.p7,0.021683376188114046,-0.01639812727251123
eeg.o1,0.06918713025388046,0.041687941673668086
eeg.o2,-0.005692747590091219,0.027332150416512706
eeg.p8,-0.035914743626659126,-0.02284887869631188
eeg.t8,0.05783040480737637,0.12639677038762773
eeg.fc6,0.09767538478334022,0.10504973778847744
eeg.f4,0.020025459817480544,0.0379247391690352
eeg.f8,-1.4814530614744528,-0.8526901651014531
eeg.af4,-0.07375055020604629,0.0029672949457079144
