,ib,nib
eeg.af3,0.007467911252861026,-0.32143806631541816
eeg.f7,-0.022447432078345698,0.3128733456452761
eeg.f3,0.0028761701598340877,0.011891951006088378
eeg.fc5,-0.18952128475734012,-0.13230135316684552
eeg.t7,0.04366483914133429,-0.37302397822965205
eeg.p7,-0.19321958927272825,0.14654186513880624
eeg.o1,-0.22412241506232813,0.15728671466511535
eeg.o2,0.017289782754645218,0.11061039680655368
eeg.p8,0.10565435674633852,0.06303449889108642
eeg.t8,0.030284440407369002,-0.12284689190942241
eeg.fc6,-0.12219101241513777,-0.3845738138029494
eeg.f4,0.040060601573917914,0.16879438225630822
eeg.f8,-0.0908907741959987,-0.07562657922462507
eeg.af4,-0.004373824335877638,-0.09579580224045599
