,discount,limited edition
eeg.af3,0.0385304607974048,0.10316887009332032
eeg.f7,0.29728228944379287,1.6035044397776819
eeg.f3,0.006898409379414272,0.04730575210043164
eeg.fc5,0.12220850979371115,0.17548504225251596
eeg.t7,-0.033018380708334766,-0.12340355696390877
eeg.p7,-0.014766535979454539,0.020938233026410846
eeg.o1,0.05591451540439783,0.1274022960916918
eeg.o2,-0.07145972593880819,-0.011257931879168417
eeg.p8,-0.09272486154997116,-0.03167336126573848
eeg.t8,-0.044124841645725665,-0.05360254736957503
eeg.fc6,0.004792015326848452,0.1689981660003563
eeg.f4,0.0011294018606240479,0.05016354170489462
eeg.f8,-1.4584440603170314,-3.9277299225300553
eeg.af4,-0.06436967464853635,-0.08322056265018228
