,discount,limited edition
eeg.af3,-0.0370000905027905,0.48912579946725104
eeg.f7,-2.8011895344822824,-0.42987129293354226
eeg.f3,0.004264076555130615,0.05291608107889164
eeg.fc5,1.874484362355483,-0.7431071828069937
eeg.t7,0.05815473814566831,-0.6368565592199945
eeg.p7,0.11459857880522999,1.6891007776688192
eeg.o1,0.12815906324855006,0.6691805054434075
eeg.o2,-0.18575382193996312,0.021437164779937092
eeg.p8,-0.20747450202454698,0.14585293995201992
eeg.t8,-0.8349507023334958,-0.19457143009231007
eeg.fc6,0.01355909440674417,0.5501556187210291
eeg.f4,-0.014730248491265795,0.1938375633165391
eeg.f8,0.3583098422829538,-7.677801695708488
eeg.af4,1.8514484233553525,8.636800687342381
