,discount,limited edition
eeg.af3,-0.26248007719111693,1.0956754214301347
eeg.f7,-0.15834113933703772,-0.4742180583040924
eeg.f3,0.14543577950507824,0.07586942627589995
eeg.fc5,15.423598531105366,-6.399495507422576
eeg.t7,0.6601541072285693,-0.18123912086640281
eeg.p7,0.06956627984534457,0.23227131682699098
eeg.o1,0.0016730372545006708,0.35617323795376815
eeg.o2,-0.2699640457348379,-0.11400101350782892
eeg.p8,-0.2403331740418905,-0.2123387456511497
eeg.t8,-3.887570339733791,4.45300000830949
eeg.fc6,-0.011856606968536859,2.1403436881253044
eeg.f4,0.17332522031439956,0.18990107588901203
eeg.f8,1.0593437762717648,-0.8108025001100924
eeg.af4,-2.1936294208032656,-0.31331525197937593
